package,tool,run,elapsed_s,exit_code
black,uvx,cold,5.944,0
black,uvx,warm,0.282,0
black,zerostart,cold,0.730,0
black,zerostart,warm,0.357,0
httpie,uvx,cold,2.191,0
httpie,uvx,warm,0.206,0
httpie,zerostart,cold,0.856,0
httpie,zerostart,warm,0.348,0
mkdocs,uvx,cold,0.952,0
mkdocs,uvx,warm,0.227,0
mkdocs,zerostart,cold,0.962,0
mkdocs,zerostart,warm,0.290,0
datasette,uvx,cold,1.738,0
datasette,uvx,warm,0.284,0
datasette,zerostart,cold,1.162,0
datasette,zerostart,warm,0.594,0
celery,uvx,cold,1.075,0
celery,uvx,warm,0.251,0
celery,zerostart,cold,1.219,0
celery,zerostart,warm,0.358,0
